"latin_binomial"	"common_name"	"pt"	"max"
Anethum graveolens	Dill	Shi luo	fae4cb18-9ba2-4057-a19e-33a36597b09f
Anethum graveolens	Garden dill	Shi luo	fae4cb18-9ba2-4057-a19e-33a36597b09f
Anethum graveolens	Shi luo	Shi luo	fae4cb18-9ba2-4057-a19e-33a36597b09f
Angelica sinensis	Chinese Angelica	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Angelica sinensis	Dang quai	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Angelica sinensis	Dang qui	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Angelica sinensis	Dong gui	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Angelica sinensis	Dong quai	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Angelica sinensis	Tang-kuei	Tang-kuei	d4b76a10-d981-437a-ba8a-b086294a5d1d
Apium graveolens	Celery	Celery	"74397cbf-f058-4272-9f55-ba0d6674e037"
Aralia racemosa	American spikenard	American spikenard	"70ac0b77-9e3c-4ffc-b04e-d8ec3721a949"
Aralia spinosa	Cong mu	Japanese aralia	cf4870c5-005b-4e72-b686-033606791f84
Aralia spinosa	Japanese angelica-tree	Japanese aralia	cf4870c5-005b-4e72-b686-033606791f84
Aralia spinosa	Japanese aralia	Japanese aralia	cf4870c5-005b-4e72-b686-033606791f84
Arctium lappa	Burdock	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Burr seed	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Cocklebur	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Edible burdock	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Gobo	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Goboshi	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Great burdock	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Great burdocks	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Greater burdock	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Hardock	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Harebur	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Lappa	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctium lappa	Niu bang zi	Niu bang zi	bb2af679-76f0-4a8d-a10f-12ffa8743bcf
Arctostaphylos uva	Bearberry	Uva ursi	d7317507-1a12-42a8-8fee-a1424d83ff20
Arctostaphylos uva	Kinnikinnick	Uva ursi	d7317507-1a12-42a8-8fee-a1424d83ff20
Arctostaphylos uva	Uva ursi	Uva ursi	d7317507-1a12-42a8-8fee-a1424d83ff20
Ardisia crenata	Coralberry	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Coralberry tree	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Coral bush	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Hen's-eyes	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Koraalbessieboom	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Spiceberry	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Ardisia crenata	Zhu sha gen	Zhu sha gen	"839ec0de-f59d-4da5-a63c-099995194cbc"
Areca catechu	Areca palm	Bing lang	"616e0127-28b4-4431-99c0-2ea1666b8589"
Areca catechu	Bing lang	Bing lang	"616e0127-28b4-4431-99c0-2ea1666b8589"
Aristotelia chilensis	Maqui	Maqui	d9624ec5-9af4-4393-95be-c85b3019e8b6
Artemisia absinthium	Absinthe	Wormwood	"488c2d18-ddd9-4e7d-95c4-a764ec7f7495"
Artemisia absinthium	Absinthe wormwood	Wormwood	"488c2d18-ddd9-4e7d-95c4-a764ec7f7495"
Artemisia absinthium	Absinthium	Wormwood	"488c2d18-ddd9-4e7d-95c4-a764ec7f7495"
Artemisia absinthium	Wormwood	Wormwood	"488c2d18-ddd9-4e7d-95c4-a764ec7f7495"
Artemisia annua	Huang hua hao	Sweet wormwood	d390e86c-f0ce-43f8-b442-2dee3934fdb8
Artemisia annua	Sweet Annie	Sweet wormwood	d390e86c-f0ce-43f8-b442-2dee3934fdb8
Artemisia annua	Sweet wormwood	Sweet wormwood	d390e86c-f0ce-43f8-b442-2dee3934fdb8
Artocarpus altilis	Breadfruit	Breadfruit	"1199d0d2-76bc-4ef2-af9e-d1460f644638"
Asparagus racemosus	Shatamuli	Shatavari	d66f339c-b862-4658-9e18-1d5a91b2ad1e
Asparagus racemosus	Shatavari	Shatavari	d66f339c-b862-4658-9e18-1d5a91b2ad1e
Atractylodes lancea	Maocangzhu	Maocangzhu	c1a7c95e-3139-40fa-818e-5c7784910d03
Atractylodes macrocephala	Bai zhu	White Atractylodes	"89b3f47a-cdff-4029-94d4-469a32824b91"
Atractylodes macrocephala	Bai zhu atractylodes	White Atractylodes	"89b3f47a-cdff-4029-94d4-469a32824b91"
Atractylodes macrocephala	Largehead Atractylodes	White Atractylodes	"89b3f47a-cdff-4029-94d4-469a32824b91"
Atractylodes macrocephala	White Atractylodes	White Atractylodes	"89b3f47a-cdff-4029-94d4-469a32824b91"
Azadirachta indica	Indian-lilac	Nimtree	c6079570-36c1-4279-a1e2-7cbb3dae6940
Azadirachta indica	Margosa	Nimtree	c6079570-36c1-4279-a1e2-7cbb3dae6940
Azadirachta indica	Neem	Nimtree	c6079570-36c1-4279-a1e2-7cbb3dae6940
Azadirachta indica	Nimtree	Nimtree	c6079570-36c1-4279-a1e2-7cbb3dae6940
Bacopa monnieri	Bacopa	Water hyssop	ae731326-0799-4e27-b673-c1515fde858f
Bacopa monnieri	Moneywort	Water hyssop	ae731326-0799-4e27-b673-c1515fde858f
Bacopa monnieri	Water hyssop	Water hyssop	ae731326-0799-4e27-b673-c1515fde858f
Ballota nigra	Ballota	Marrubium Nigrum	e8858c93-80e2-4f9c-8239-3370d659b542
Ballota nigra	Black hempnettle	Marrubium Nigrum	e8858c93-80e2-4f9c-8239-3370d659b542
Ballota nigra	Black horehound	Marrubium Nigrum	e8858c93-80e2-4f9c-8239-3370d659b542
Ballota nigra	Black Stinking Horehound	Marrubium Nigrum	e8858c93-80e2-4f9c-8239-3370d659b542
Ballota nigra	Marrubium Nigrum	Marrubium Nigrum	e8858c93-80e2-4f9c-8239-3370d659b542
Berberis aquifolium	Blue barberry	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Holly barberry	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Holly mahonia	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Mahonia	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Mountain grape	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Mountain-grape	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Oregon grape	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aquifolium	Oregon-grape	Oregon-grape	"88584ab6-ef3a-49fa-9379-45155f655158"
Berberis aristata	Indian barberry	Tree-turmeric	e1196f46-132a-425a-9f9f-9966f535776f
Berberis aristata	Tree-turmeric	Tree-turmeric	e1196f46-132a-425a-9f9f-9966f535776f
Berberis lycium	Berberislycium	Berberislycium	b39ddc3a-46af-4e6c-9ece-5e403eb9ff02
Berberis vulgaris	Common barberry	piprage	fd881f44-f5ea-4299-88b7-5c85977c138f
Berberis vulgaris	European barberry	piprage	fd881f44-f5ea-4299-88b7-5c85977c138f
Berberis vulgaris	Jaundice-berry	piprage	fd881f44-f5ea-4299-88b7-5c85977c138f
Berberis vulgaris	piprage	piprage	fd881f44-f5ea-4299-88b7-5c85977c138f
Beta vulgaris	Beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Beet root	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Field beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Fodder beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Foliage beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Garden beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Mangel	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Mangel-wurzel	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Mangold	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Red beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Sicilian broad-rib beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Spinach beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Spinach chard	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Sugar beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Swiss chard	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Tian cai	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Beta vulgaris	Yellow beet	Beet root	e646c8d2-e269-411a-9407-f9db7d1d2f39
Bidens pilosa	Hairy beggar-ticks	Spanish-needles	e52fff66-4f49-49c6-9819-6d2c8b65901d
Bidens pilosa	Spanish-needles	Spanish-needles	e52fff66-4f49-49c6-9819-6d2c8b65901d
Bixa orellana	Annatto	Rocou	eb88cf6c-e4b0-43e5-91f5-b3760e850786
Bixa orellana	Arnatto	Rocou	eb88cf6c-e4b0-43e5-91f5-b3760e850786
