"concept_id_1"	"concept_id_2"	"relationship_id"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000498	-7000987	napdi_pt	2000-01-01	2099-02-22	""
-7000497	-7000987	napdi_pt	2000-01-01	2099-02-22	""
-7000822	-7000988	napdi_pt	2000-01-01	2099-02-22	""
-7000820	-7000988	napdi_pt	2000-01-01	2099-02-22	""
-7000821	-7000988	napdi_pt	2000-01-01	2099-02-22	""
-7000823	-7000988	napdi_pt	2000-01-01	2099-02-22	""
-7000223	-7000989	napdi_pt	2000-01-01	2099-02-22	""
-7000221	-7000989	napdi_pt	2000-01-01	2099-02-22	""
-7000222	-7000989	napdi_pt	2000-01-01	2099-02-22	""
-7000220	-7000989	napdi_pt	2000-01-01	2099-02-22	""
-7000219	-7000989	napdi_pt	2000-01-01	2099-02-22	""
-7000665	-7000990	napdi_pt	2000-01-01	2099-02-22	""
-7000544	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000549	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000546	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000541	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000545	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000542	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000550	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000543	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000547	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000551	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000548	-7000991	napdi_pt	2000-01-01	2099-02-22	""
-7000876	-7000992	napdi_pt	2000-01-01	2099-02-22	""
-7000731	-7000993	napdi_pt	2000-01-01	2099-02-22	""
-7000198	-7000994	napdi_pt	2000-01-01	2099-02-22	""
-7000194	-7000994	napdi_pt	2000-01-01	2099-02-22	""
-7000195	-7000994	napdi_pt	2000-01-01	2099-02-22	""
-7000196	-7000994	napdi_pt	2000-01-01	2099-02-22	""
-7000197	-7000994	napdi_pt	2000-01-01	2099-02-22	""
-7000349	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000351	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000348	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000350	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000354	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000352	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000353	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000347	-7000995	napdi_pt	2000-01-01	2099-02-22	""
-7000058	-7000996	napdi_pt	2000-01-01	2099-02-22	""
-7000059	-7000996	napdi_pt	2000-01-01	2099-02-22	""
-7000057	-7000996	napdi_pt	2000-01-01	2099-02-22	""
-7000613	-7000997	napdi_pt	2000-01-01	2099-02-22	""
-7000612	-7000997	napdi_pt	2000-01-01	2099-02-22	""
-7000690	-7000998	napdi_pt	2000-01-01	2099-02-22	""
-7000694	-7000998	napdi_pt	2000-01-01	2099-02-22	""
-7000693	-7000998	napdi_pt	2000-01-01	2099-02-22	""
-7000692	-7000998	napdi_pt	2000-01-01	2099-02-22	""
-7000691	-7000998	napdi_pt	2000-01-01	2099-02-22	""
-7000342	-7000999	napdi_pt	2000-01-01	2099-02-22	""
-7000340	-7000999	napdi_pt	2000-01-01	2099-02-22	""
-7000341	-7000999	napdi_pt	2000-01-01	2099-02-22	""
-7000105	-7001000	napdi_pt	2000-01-01	2099-02-22	""
-7000106	-7001000	napdi_pt	2000-01-01	2099-02-22	""
-7000367	-7001001	napdi_pt	2000-01-01	2099-02-22	""
-7000844	-7001002	napdi_pt	2000-01-01	2099-02-22	""
-7000842	-7001002	napdi_pt	2000-01-01	2099-02-22	""
-7000843	-7001002	napdi_pt	2000-01-01	2099-02-22	""
-7000905	-7001003	napdi_pt	2000-01-01	2099-02-22	""
-7000904	-7001003	napdi_pt	2000-01-01	2099-02-22	""
-7000902	-7001003	napdi_pt	2000-01-01	2099-02-22	""
-7000903	-7001003	napdi_pt	2000-01-01	2099-02-22	""
-7000921	-7001004	napdi_pt	2000-01-01	2099-02-22	""
-7000923	-7001004	napdi_pt	2000-01-01	2099-02-22	""
-7000922	-7001004	napdi_pt	2000-01-01	2099-02-22	""
-7000920	-7001004	napdi_pt	2000-01-01	2099-02-22	""
-7000084	-7001005	napdi_pt	2000-01-01	2099-02-22	""
-7000086	-7001005	napdi_pt	2000-01-01	2099-02-22	""
-7000085	-7001005	napdi_pt	2000-01-01	2099-02-22	""
-7000867	-7001006	napdi_pt	2000-01-01	2099-02-22	""
-7000869	-7001006	napdi_pt	2000-01-01	2099-02-22	""
-7000868	-7001006	napdi_pt	2000-01-01	2099-02-22	""
-7000053	-7001007	napdi_pt	2000-01-01	2099-02-22	""
-7000052	-7001007	napdi_pt	2000-01-01	2099-02-22	""
