"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000034	Happiness Tree[Albizia julibrissin]	NaPDI research	NAPDI	Silktree albizia	""	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f	2000-01-01	2099-02-22	""
-7000035	He huan[Albizia julibrissin]	NaPDI research	NAPDI	Silktree albizia	""	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f	2000-01-01	2099-02-22	""
-7000036	Mimosa[Albizia julibrissin]	NaPDI research	NAPDI	Silktree albizia	""	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f	2000-01-01	2099-02-22	""
-7000040	Onion[Allium cepa]	NaPDI research	NAPDI	Shallot	""	b980fa6a-5cbc-4feb-88a3-0e762bd81163	2000-01-01	2099-02-22	""
-7000041	Shallot[Allium cepa]	NaPDI research	NAPDI	Shallot	""	b980fa6a-5cbc-4feb-88a3-0e762bd81163	2000-01-01	2099-02-22	""
-7000037	Silktree[Albizia julibrissin]	NaPDI research	NAPDI	Silktree albizia	""	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f	2000-01-01	2099-02-22	""
-7000038	Silktree albizia[Albizia julibrissin]	NaPDI research	NAPDI	Silktree albizia	""	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f	2000-01-01	2099-02-22	""
-7000039	Lady's-mantle[Alchemilla xanthochlora]	NaPDI research	NAPDI	Lady's-mantle	""	e6ee11b0-69f2-4b3a-94d8-a46de7eca8c8	2000-01-01	2099-02-22	""
-7000043	Aloe[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000044	Aloe vera[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000045	Barbados aloe[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000046	Curaçao aloe[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000042	Garlic[Allium sativum]	NaPDI research	NAPDI	Garlic	""	d7f16043-fd38-4983-b3a5-32838dfd28d1	2000-01-01	2099-02-22	""
-7000047	True aloe[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000048	West Indian aloe[Aloe vera]	NaPDI research	NAPDI	Aloe vera	""	cf371310-170f-4572-8a1b-7d4fe69aa271	2000-01-01	2099-02-22	""
-7000049	Chinese-ginger[Alpinia officinarum]	NaPDI research	NAPDI	Lesser galangal	""	"6f16f698-7143-4443-bbb1-0e8c2b123c44"	2000-01-01	2099-02-22	""
-7000050	Lesser galanga[Alpinia officinarum]	NaPDI research	NAPDI	Lesser galangal	""	"6f16f698-7143-4443-bbb1-0e8c2b123c44"	2000-01-01	2099-02-22	""
-7000051	Lesser galangal[Alpinia officinarum]	NaPDI research	NAPDI	Lesser galangal	""	"6f16f698-7143-4443-bbb1-0e8c2b123c44"	2000-01-01	2099-02-22	""
-7000052	Prickly Amaranth[Amaranthus spinosus]	NaPDI research	NAPDI	Spiny Amaranth	""	cd023c40-2e64-40f6-aed5-e74cb2ae3049	2000-01-01	2099-02-22	""
-7000053	Spiny Amaranth[Amaranthus spinosus]	NaPDI research	NAPDI	Spiny Amaranth	""	cd023c40-2e64-40f6-aed5-e74cb2ae3049	2000-01-01	2099-02-22	""
-7000054	Sharen[Amomum villosum]	NaPDI research	NAPDI	Villous amomum	""	"03668c69-6c40-43bd-85c9-e709ee23bd99"	2000-01-01	2099-02-22	""
-7000055	Sha ren[Amomum villosum]	NaPDI research	NAPDI	Villous amomum	""	"03668c69-6c40-43bd-85c9-e709ee23bd99"	2000-01-01	2099-02-22	""
-7000056	Villous amomum[Amomum villosum]	NaPDI research	NAPDI	Villous amomum	""	"03668c69-6c40-43bd-85c9-e709ee23bd99"	2000-01-01	2099-02-22	""
-7000057	Dill[Anethum graveolens]	NaPDI research	NAPDI	Shi luo	""	fae4cb18-9ba2-4057-a19e-33a36597b09f	2000-01-01	2099-02-22	""
-7000058	Garden dill[Anethum graveolens]	NaPDI research	NAPDI	Shi luo	""	fae4cb18-9ba2-4057-a19e-33a36597b09f	2000-01-01	2099-02-22	""
-7000059	Shi luo[Anethum graveolens]	NaPDI research	NAPDI	Shi luo	""	fae4cb18-9ba2-4057-a19e-33a36597b09f	2000-01-01	2099-02-22	""
-7000060	Chinese Angelica[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000061	Dang quai[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000062	Dang qui[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000063	Dong gui[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000064	Dong quai[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000065	Tang-kuei[Angelica sinensis]	NaPDI research	NAPDI	Tang-kuei	""	"07c4f549-0e60-4580-ad45-b260472966f1"	2000-01-01	2099-02-22	""
-7000066	Celery[Apium graveolens]	NaPDI research	NAPDI	Celery	""	"0816a313-bf97-4934-bf14-a3567c36724e"	2000-01-01	2099-02-22	""
-7000067	American spikenard[Aralia racemosa]	NaPDI research	NAPDI	American spikenard	""	"70ac0b77-9e3c-4ffc-b04e-d8ec3721a949"	2000-01-01	2099-02-22	""
-7000068	Cong mu[Aralia spinosa]	NaPDI research	NAPDI	Japanese aralia	""	c9316b36-31be-4cab-964b-0b32544f2f06	2000-01-01	2099-02-22	""
-7000069	Japanese angelica-tree[Aralia spinosa]	NaPDI research	NAPDI	Japanese aralia	""	c9316b36-31be-4cab-964b-0b32544f2f06	2000-01-01	2099-02-22	""
-7000070	Japanese aralia[Aralia spinosa]	NaPDI research	NAPDI	Japanese aralia	""	c9316b36-31be-4cab-964b-0b32544f2f06	2000-01-01	2099-02-22	""
-7000071	Burdock[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000072	Burr seed[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000073	Cocklebur[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000074	Edible burdock[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
